ilosc 	 alpha 	 beta 	 pj_max 	 inst 	 time 	 wynik 	 regeneracja
 10 	 0.2 	 0.05 	 20 	 	 25	0	1794.8	5
 10 	 0.2 	 0.05 	 20 	 	 26	0	1358.59	6
 10 	 0.2 	 0.05 	 20 	 	 27	0	3285.06	15
 10 	 0.2 	 0.05 	 20 	 	 28	0.015	1139.39	8
 10 	 0.2 	 0.05 	 20 	 	 29	0	1795.67	18
 10 	 0.2 	 0.05 	 20 	 	 30	0.016	3790.24	20
 10 	 0.2 	 0.05 	 20 	 	 31	0	1942.68	10
 10 	 0.2 	 0.05 	 20 	 	 32	0	2979.48	12
 10 	 0.2 	 0.05 	 20 	 	 33	0	2244.57	14
 10 	 0.2 	 0.05 	 20 	 	 34	0	1524.18	11
 10 	 0.2 	 0.05 	 20 	 	 35	0	839.166	11
 10 	 0.2 	 0.05 	 20 	 	 36	0	1158.79	10
 10 	 0.2 	 0.05 	 20 	 	 37	0.016	2375.74	15
 10 	 0.2 	 0.05 	 20 	 	 38	0	1945.13	14
 10 	 0.2 	 0.05 	 20 	 	 39	0	1876.23	12
 10 	 0.2 	 0.05 	 20 	 	 40	0.016	2727.82	4
 10 	 0.2 	 0.05 	 20 	 	 41	0	2498.47	12
 10 	 0.2 	 0.05 	 20 	 	 42	0	1137.66	5
 10 	 0.2 	 0.05 	 20 	 	 43	0.015	2843.93	18
 10 	 0.2 	 0.05 	 20 	 	 44	0	1887.9	13
 10 	 0.2 	 0.05 	 20 	 	 45	0	2466.84	17
 10 	 0.2 	 0.05 	 20 	 	 46	0.016	1636.42	12
 10 	 0.2 	 0.05 	 20 	 	 47	0	1264.9	13
 10 	 0.2 	 0.05 	 20 	 	 48	0	2196.08	12
 10 	 0.2 	 0.05 	 20 	 	 49	0	1778.27	12
wart srednie: 0.19176	103154	615	

-----------------------
 10 	 0.2 	 0.05 	 30 	 	 0	0	2923.12	9
 10 	 0.2 	 0.05 	 30 	 	 1	0.015	2030.45	20
 10 	 0.2 	 0.05 	 30 	 	 2	0	5394.15	21
 10 	 0.2 	 0.05 	 30 	 	 3	0.016	2636.88	16
 10 	 0.2 	 0.05 	 30 	 	 4	0.015	3342.8	16
 10 	 0.2 	 0.05 	 30 	 	 5	0	3474.01	16
 10 	 0.2 	 0.05 	 30 	 	 6	0	3157.4	18
 10 	 0.2 	 0.05 	 30 	 	 7	0	2032.07	10
 10 	 0.2 	 0.05 	 30 	 	 8	0	2646.35	9
 10 	 0.2 	 0.05 	 30 	 	 9	0.015	4014.03	22
 10 	 0.2 	 0.05 	 30 	 	 10	0.016	2091.72	11
 10 	 0.2 	 0.05 	 30 	 	 11	0	2787.89	17
 10 	 0.2 	 0.05 	 30 	 	 12	0.031	6429.78	26
 10 	 0.2 	 0.05 	 30 	 	 13	0.016	3195.63	15
 10 	 0.2 	 0.05 	 30 	 	 14	0	2201.07	16
 10 	 0.2 	 0.05 	 30 	 	 15	0.015	4653.03	8
